hostname,device_type,host,username,password,secret,port
CZBRN-PE-01,arista_eos,10.255.26.1,,,,22
CZBRN-PE-02,arista_eos,10.255.26.2,,,,22
FRBOR-PE-01,arista_eos,10.255.26.3,,,,22
FRBOR-PE-02,arista_eos,10.255.26.4,,,,22
NLEIN-PE-01,arista_eos,10.255.26.5,,,,22
NLEIN-PE-02,arista_eos,10.255.26.6,,,,22
UKLD6-PE-02,arista_eos,10.255.26.8,,,,22
USAU4-PE-02,arista_eos,10.255.26.12,,,,22
USAU4-PE-01,arista_eos,10.255.26.11,,,,22
USCBD-PE-02,arista_eos,10.255.26.14,,,,22
USCBD-PE-01,arista_eos,10.255.26.13,,,,22
USFRD-PE-01,arista_eos,10.255.26.15,,,,22
USFRD-PE-02,arista_eos,10.255.26.16,,,,22
USGIL-PE-01,arista_eos,10.165.226.19,,,,22
USGIL-PE-02,arista_eos,10.165.226.20,,,,22
USHIL-PE-02,arista_eos,10.255.26.18,,,,22
USHIL-PE-01,arista_eos,10.255.26.17,,,,22
USPGH-PE-01,arista_eos,10.255.26.19,,,,22
USPGH-PE-02,arista_eos,10.255.26.20,,,,22
USPLE-PE-02,arista_eos,10.255.26.22,,,,22
USPLE-PE-01,arista_eos,10.255.26.21,,,,22
USSV1-PE-02,arista_eos,10.255.26.26,,,,22
USSFO-PE-01,arista_eos,10.255.26.23,,,,22
USSFO-PE-02,arista_eos,10.255.26.24,,,,22
USSV1-PE-01,arista_eos,10.255.26.25,,,,22
USABN-PE-02,arista_eos,10.255.26.10,,,,22
USABN-PE-01,arista_eos,10.255.26.9,,,,22
UKLD6-PE-01,arista_eos,10.255.26.7,,,,22
