hostname,device_type,host,username,password,secret,port
FIHEL-LAN-3D-N (1),cisco_ios,10.32.192.109,,,,22
FIHEL-LAN-2C1 (1),cisco_ios,10.32.192.112,,,,22
FIHEL-LAN-2C1 (2),cisco_ios,10.32.192.112,,,,22
FIHEL-LAN-2C1 (3),cisco_ios,10.32.192.112,,,,22
FIHEL-LAN-2C1 (4),cisco_ios,10.32.192.112,,,,22
FIHEL-LAN-2C1 (5),cisco_ios,10.32.192.112,,,,22
FIHEL-LAN-2B2 (1),cisco_ios,10.32.192.104,,,,22
FIHEL-LAN-2B2 (2),cisco_ios,10.32.192.104,,,,22
FIHEL-LAN-2B2 (3),cisco_ios,10.32.192.104,,,,22
FIHEL-LAN-1E (1),cisco_ios,10.32.192.108,,,,22
FIHEL-LAN-2B-IC01,cisco_ios,10.32.192.114,,,,22
FIHEL-LAN-2C2-2 (1),cisco_ios,10.32.192.107,,,,22
FIHEL-LAN-2C2-2 (2),cisco_ios,10.32.192.107,,,,22
FIHEL-LAN-2C2-2 (3),cisco_ios,10.32.192.107,,,,22
FIHEL-LAN-2C2-2 (4),cisco_ios,10.32.192.107,,,,22
FIHEL-LAN-2C1-1,cisco_ios,10.32.192.105,,,,22
FIHEL-LAN-2C2-1 (1),cisco_ios,10.32.192.106,,,,22
FIHEL-LAN-2C2-1 (2),cisco_ios,10.32.192.106,,,,22
FIHEL-LAN-2C2-1 (3),cisco_ios,10.32.192.106,,,,22
FIHEL-LAN-2C2-1 (4),cisco_ios,10.32.192.106,,,,22
FIHEL-LAN-2B2-5A,cisco_ios,10.32.192.118,,,,22
FIHEL-LAN-2E (1),cisco_ios,10.32.192.111,,,,22
FIHEL-LAN-2E (2),cisco_ios,10.32.192.111,,,,22
FIHEL-LAN-2B2-1 (1),cisco_ios,10.32.192.102,,,,22
FIHEL-LAN-2B2-1 (2),cisco_ios,10.32.192.102,,,,22
FIHEL-WLC-2B,cisco_ios,10.32.192.101,,,,22
FIHEL-LAN-2B1-1 (1),cisco_ios,10.32.192.116,,,,22
FIHEL-LAN-2B1-1 (2),cisco_ios,10.32.192.116,,,,22
FIHEL-LAN-2B1-1 (3),cisco_ios,10.32.192.116,,,,22
FIHEL-LAN-2B1-1 (4),cisco_ios,10.32.192.116,,,,22
