Name,Status,Tenant,Site,Location,Rack,Role,Manufacturer,Type,IP Address
CZBRN-PE-01,Active,MSD,CZBRN,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.1/32
CZBRN-PE-02,Active,MSD,CZBRN,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.2/32
FRBOR-PE-01,Active,MSD,FRBOR,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.3/32
FRBOR-PE-02,Active,MSD,FRBOR,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.4/32
NLEIN-PE-01,Active,MSD,NLEIN,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.5/32
NLEIN-PE-02,Active,MSD,NLEIN,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.6/32
UKLD6-PE-01,Active,Corp,UKLD7,,UKLD7 - 1305,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.7/32
UKLD6-PE-02,Active,Corp,UKLD7,,UKLD7 - 1306,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.8/32
USAU4-PE-02,Active,GSD,USAU4,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.12/32
USAU4-PE-01,Active,GSD,USAU4,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.11/32
USCBD-PE-02,Active,MMS,USCBD,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.14/32
USCBD-PE-01,Active,MMS,USCBD,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.13/32
USFRD-PE-01,Active,CSD,USFRD,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.15/32
USFRD-PE-02,Active,CSD,USFRD,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.16/32
USGIL-PE-01,Active,CSD,USGIL,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.165.226.19/32
USGIL-PE-02,Active,CSD,USGIL,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.165.226.20/32
USHIL-PE-02,Active,MSD,USHIL,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.18/32
USHIL-PE-01,Active,MSD,USHIL,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.17/32
USPGH-PE-01,Active,Corp,USPGH,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.19/32
USPGH-PE-02,Active,Corp,USPGH,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.20/32
USPLE-PE-02,Active,GSD,USPLE,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.22/32
USPLE-PE-01,Active,GSD,USPLE,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.21/32
USSV1-PE-02,Active,GSD,USSV1,,USSV1 102,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.26/32
USSC1-3450-PE-DS01,Active,GSD,USSC1,,,Switch (CUSTOM),Arista,DCS-7280SR-48C6,10.165.224.3/32
USSC1-3450-PE-DS02,Active,GSD,USSC1,,,Switch (CUSTOM),Arista,DCS-7280SR-48C6,10.165.224.4/32
USSFO-PE-01,Active,CSD,USSFO,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.23/32
USSFO-PE-02,Active,CSD,USSFO,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.24/32
USSV1-PE-01,Active,Corp,USSV1,,USSV1 101,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.25/32
USSJO-RND-PE-01,Active,CMD,USSJO,,,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.165.226.25/32
USSJO-RND-PE-02,Active,CMD,USSJO,,,Switch (EVPN_PE),Arista,DCS-7280SR3-48YC8,10.165.226.26/32
USABN-PE-02,Active,Corp,USABN,DC6 - Cage 61410,118,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.10/32
USABN-PE-01,Active,Corp,USABN,DC6 - Cage 61410,117,Switch (EVPN_PE),Arista,DCS-7280SR-48C6,10.255.26.9/32
