Name,Status,Tenant,Site,Location,Rack,Role,Manufacturer,Type,IP Address
FIHEL-LAN-3D-N (1),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9200-48P,10.32.192.109/27
FIHEL-LAN-2C1 (1),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.112/27
FIHEL-LAN-2C1 (2),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.112/27
FIHEL-LAN-2C1 (3),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.112/27
FIHEL-LAN-2C1 (4),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.112/27
FIHEL-LAN-2C1 (5),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.112/27
FIHEL-LAN-2B2 (1),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.104/27
FIHEL-LAN-2B2 (2),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.104/27
FIHEL-LAN-2B2 (3),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.104/27
FIHEL-LAN-1E (1),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9200-48P,10.32.192.108/27
FIHEL-LAN-2B-IC01,Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.114/27
FIHEL-LAN-2C2-2 (1),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.107/27
FIHEL-LAN-2C2-2 (2),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.107/27
FIHEL-LAN-2C2-2 (3),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.107/27
FIHEL-LAN-2C2-2 (4),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.107/27
FIHEL-LAN-2C1-1,Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.105/27
FIHEL-LAN-2C2-1 (1),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.106/27
FIHEL-LAN-2C2-1 (2),Active,CDD,FIHEL,,,Switch (Access),Cisco,C9300-48P,10.32.192.106/27
