==== DEVICE: USSV1-PE-02 (10.255.26.26) ====
device_type: arista_eos
mode: show
port: 22

$ terminal length 0
Pagination disabled.

$ show lldp neighbors
Last table change time   : 1 day, 19:10:05 ago
Number of table inserts  : 223
Number of table deletes  : 212
Number of table drops    : 0
Number of table age-outs : 2

Port          Neighbor Device ID                 Neighbor Port ID    TTL
---------- ---------------------------------- ---------------------- ---
Et9           USABN-PE-02.thermofisher.com       Ethernet9           120
Et10          USAU4-PE-01.thermofisher.com       Ethernet9           120
Et11          USSV1-CS02.thermofisher.com        Twe1/0/8            120
Et12          USSV1-CS02.thermofisher.com        Twe1/0/9            120
Et19          USHIL-PE-02.thermofisher.com       Ethernet9           120
Et25          USSV1-PE-01.thermofisher.com       Ethernet25          120
Et26          USSV1-PE-01.thermofisher.com       Ethernet26          120
Et31          USPLE-PE-01.thermofisher.com       Ethernet9           120
Et37          USCBD-PE-02.thermofisher.com       Ethernet9           120
Et41          USSV1-CS02.thermofisher.com        Twe2/0/8            120
Et42          USSV1-CS02.thermofisher.com        Twe2/0/9            120

